name,title,earning_group,category,sub_category
,COS-GU,Above Goal Follow On Points,ONC,Follow On Patients
,COS-GU,Above Goal Initial Patients Points,ONC,Initial Patients
,COS-GU,Access Milestone,ONC,Others
,COS-GU,Bonus,ONC,Others
,COS-GU,CHS Team Performance,ONC,Others
,COS-GU,Commission Adjustment,ONC,Others
,COS-GU,Follow On Points,ONC,Follow On Patients
,COS-GU,Growth Commission,ONC,Others
,COS-GU,Guarantee Extended,ONC,Others
,COS-GU,Initial Patients Points,ONC,Initial Patients
,COS-GU,MBO,ONC,Others
,COS-GU,Patient Retention,ONC,Others
,COS-GYN,Above Goal Empower,ONC,Others
,COS-GYN,Above Goal Follow On Points,ONC,Follow On Patients
,COS-GYN,Above Goal Initial Patients Points,ONC,Initial Patients
,COS-GYN,Access Milestone,ONC,Others
,COS-GYN,Bonus,ONC,Others
,COS-GYN,CHS Team Performance,ONC,Others
,COS-GYN,Commission Adjustment,ONC,Others
,COS-GYN,Follow On Points,ONC,Follow On Patients
,COS-GYN,Growth Commission,ONC,Others
,COS-GYN,Guarantee Extended,ONC,Others
,COS-GYN,Initial Patients Points,ONC,Initial Patients
,COS-GYN,MBO,ONC,Others
,COS-GYN,Patient Retention,ONC,Others
,COS-HEM,Above Goal Empower,ONC,Others
,COS-HEM,Above Goal Follow On Points,ONC,Follow On Patients
,COS-HEM,Above Goal Initial Patients Points,ONC,Initial Patients
,COS-HEM,Access Milestone,ONC,Others
,COS-HEM,Bonus,ONC,Others
,COS-HEM,CHS Team Performance,ONC,Others
,COS-HEM,Commission Adjustment,ONC,Others
,COS-HEM,Follow On Points,ONC,Follow On Patients
,COS-HEM,Growth Commission,ONC,Others
,COS-HEM,Guarantee Extended,ONC,Others
,COS-HEM,Initial Patients Points,ONC,Initial Patients
,COS-HEM,MBO,ONC,Others
,COS-HEM,Patient Retention,ONC,Others
,COS-ONC_GI,Above Goal Empower,ONC,Others
,COS-ONC_GI,Above Goal Follow On Points,ONC,Follow On Patients
,COS-ONC_GI,Above Goal Initial Patients Points,ONC,Initial Patients
,COS-ONC_GI,Access Milestone,ONC,Others
,COS-ONC_GI,Bonus,ONC,Others
,COS-ONC_GI,CHS Team Performance,ONC,Others
,COS-ONC_GI,Commission Adjustment,ONC,Others
,COS-ONC_GI,Follow On Points,ONC,Follow On Patients
,COS-ONC_GI,Growth Commission,ONC,Others
,COS-ONC_GI,Guarantee Extended,ONC,Others
,COS-ONC_GI,Initial Patients Points,ONC,Initial Patients
